No. Trials,tilt,key_resp.corr,Reversals,key_resp.rt
1,-10,0,,13.761005
2,10,1,,0.9072989
3,-8.75,1,,0.9552474
4,-8.75,1,,0.665533
5,-8.75,1,,1.7837946
6,-7.5,1,,0.6811865
7,-7.5,1,,0.5825169
8,7.5,1,,0.6795533
9,-6.25,1,,0.7081107
10,-6.25,1,,0.6205579
11,6.25,1,,0.682311
12,-5,1,,0.635813
13,-5,1,,1.2365987
14,5,1,,0.8013848
15,-3.75,1,,0.7156557
16,-3.75,1,,0.6166933
17,-3.75,1,,0.5673018
18,2.5,1,,0.5872015
19,-2.5,1,,0.7265823
20,2.5,1,,0.6070646
21,-1.25,0,,1.2257224
22,-2.75,1,,0.7438871
23,2.75,1,,0.746078
24,-2.75,1,,0.6946569
25,-1,0,,0.6436052
26,3,1,,0.7124324
27,-3,1,,0.7153564
28,-3,1,,0.5503926
29,-1,0,,0.6743095
30,-3,1,,1.483597
31,3,1,,0.8486494
32,-3,1,,0.987166
33,1,1,,0.9121076
34,-1,1,-1,1.1406499
35,-1,0,,1.0057867
36,3,1,,0.7323548
37,3,1,,0.7715213
38,-3,1,,1.2352624
39,-1,0,,0.8333784
40,3,1,,0.7391687
41,3,1,,0.803128
42,3,1,3,0.7652106
43,-1,0,,0.8814211
44,3,1,,0.5470037
45,3,1,,0.57445
46,3,1,,0.6136809
47,1,1,,0.6805159
48,-1,0,,1.4196922
49,-3,1,,0.9247445
50,3,1,,0.8574626
51,-3,1,-3,0.7552496
52,-1,0,,0.9123155
53,-3,1,,1.0911401
54,3,1,,0.7008203
55,3,1,3,0.6912236
56,-1,0,,1.2523591
57,-3,1,,1.0952866
58,3,1,,0.598832
59,3,1,,0.7045563
60,1,1,,1.0964539
61,-1,0,,0.9690557
62,3,1,,0.7249187
63,-3,1,,1.4675776
64,3,1,,0.7441762
65,-1,1,,0.6149464
66,-1,0,,0.9339858
67,3,1,,0.849851
68,-3,0,,1.2748842
69,5,1,,0.8455726
70,5,1,,0.698323
71,5,1,,0.9630092
72,-3,1,,1.1178103
73,3,1,,0.8585433
74,-3,1,-3,0.7254725
75,-1,0,,1.1493815
76,-3,0,,1.0392646
77,5,1,,0.7438881
78,5,1,,0.8184971
79,5,1,,0.6623873
80,-3,1,,0.7762679
81,-3,0,,1.1617199
82,5,1,,0.7374048
83,5,1,,0.682056
84,-5,1,,0.9223051
85,-3,1,,0.692925
86,-3,0,,1.0717282
87,5,1,,0.8989172
88,-5,1,,0.6500161
89,5,1,,0.7909893
90,3,1,,1.2450299
91,3,1,,0.9240254
92,3,1,,0.6896486
93,-1,0,,0.8940082
94,3,1,,0.9685923
95,-3,1,,0.5882558
96,-3,0,,0.6764158
97,5,1,,0.6511261
98,-5,1,,1.0089508
99,-5,1,,0.6915425
100,-3,1,,0.834401
,,Average,2.6,0.976409111
